ad_ref,assembly,body,ad_city,color,engine_cc,fuel_type,make,mileage,model,registered,transmission,year,price,make_reduced,model_reduced,log_price
7816517,Imported,SUV,Lahore,Beige,4200.0,Diesel,Toyota,250000,Land,Punjab,Automatic,1905.0,8850000.0,Toyota,Land,15.995928129978456
7922453,Imported,Unknown,Lahore,White,660.0,Petrol,Suzuki,3800,Alto,Un-Registered,Automatic,1905.0,4190000.0,Suzuki,Alto,15.248211530561777
7923220,Unknown,Compact SUV,Lahore,Lunar Silver,1499.0,Petrol,Changan,23000,Oshan,Punjab,Automatic,1905.0,8950000.0,Changan,Other,16.007164201982874
7923246,Unknown,Double Cabin,Lahore,Super White,2800.0,Diesel,Toyota,16000,Hilux,Punjab,Automatic,1905.0,13800000.0,Toyota,Hilux,16.440179222591198
7931582,Imported,Crossover,Lahore,Burgundy,996.0,Petrol,Toyota,59000,Raize,Punjab,Automatic,1905.0,5750000.0,Toyota,Other,15.564710586686562
7918831,Imported,Van,Lahore,Pearl White,2000.0,Hybrid,Nissan,86000,Serena,Un-Registered,Automatic,1905.0,7700000.0,Nissan,Other,15.856731016694035
7863154,Imported,SUV,Lahore,Grey Metallic,2700.0,Petrol,Toyota,123939,Prado,Islamabad,Automatic,1905.0,18900000.0,Toyota,Prado,16.75467253293992
7926620,Unknown,SUV,Lahore,Attitude Black,2800.0,Diesel,Toyota,1900,Fortuner,Punjab,Automatic,1905.0,19900000.0,Toyota,Fortuner,16.806230339945976
7931587,Imported,Crossover,Lahore,Silver,1490.0,Hybrid,Toyota,77000,Yaris,Un-Registered,Automatic,1905.0,4980000.0,Toyota,Yaris,15.42094064980403
7931576,Unknown,Sedan,Lahore,Lunar Silver Metallic,1800.0,Petrol,Honda,71000,Civic,Punjab,Automatic,1905.0,5190000.0,Honda,Civic,15.46224444782028
7914775,Unknown,Sedan,Lahore,Maroon,1500.0,Petrol,Honda,75805,Civic,Lahore,Automatic,1905.0,6400000.0,Honda,Civic,15.671808704579888
7914577,Unknown,Sedan,Lahore,Strong Blue,1300.0,Petrol,Toyota,87801,Corolla,Islamabad,Automatic,1905.0,4750000.0,Toyota,Corolla,15.373655386537118
7911801,Unknown,Sedan,Lahore,Bronze Mica,1798.0,Petrol,Toyota,82962,Corolla,Lahore,Automatic,1905.0,4200000.0,Toyota,Corolla,15.250595321348806
7917705,Unknown,Hatchback,Lahore,Cerulean Blue,1000.0,Petrol,Suzuki,154207,Cultus,Lahore,Manual,1905.0,2500000.0,Suzuki,Cultus,14.731801689838349
7905259,Unknown,Sedan,Multan,Black,1300.0,Petrol,Toyota,105000,Corolla,Lahore,Manual,1905.0,3500000.0,Toyota,Corolla,15.068273812173887
7929912,Unknown,Hatchback,Islamabad,Solid White,796.0,Petrol,Suzuki,48000,Mehran,Islamabad,Manual,1905.0,1350000.0,Suzuki,Mehran,14.115615891155079
7929913,Unknown,Sedan,Karachi,Silver Metallic,1598.0,Petrol,Toyota,4200,Corolla,Karachi,Automatic,1905.0,6600000.0,Toyota,Corolla,15.702580358511794
7929917,Imported,Compact SUV,Lahore,Grey,1500.0,Hybrid,Haval,1,H6,Un-Registered,Automatic,1905.0,13200000.0,Other,Other,16.395727463314174
7929918,Unknown,Hatchback,Islamabad,Solid White,660.0,Petrol,Suzuki,700,Alto,Un-Registered,Automatic,1905.0,3100000.0,Suzuki,Alto,14.946912992035967
7929865,Imported,Hatchback,Karachi,Unknown,660.0,Petrol,Daihatsu,117000,Mira,Karachi,Automatic,1905.0,2150000.0,Daihatsu,Mira,14.580978865220017
7929919,Imported,Hatchback,Islamabad,White,660.0,Petrol,Daihatsu,200000,Mira,Lahore,Automatic,1905.0,1400000.0,Daihatsu,Mira,14.151983508870947
7929922,Unknown,Hatchback,Faisalabad,Silver,1000.0,Petrol,Hyundai,100000,Santro,Lahore,Manual,1905.0,1100000.0,Hyundai,Other,13.910821646859095
7929924,Unknown,Hatchback,Lahore,Solid White,1000.0,Petrol,Suzuki,90000,Alto,Lahore,Manual,1905.0,1050000.0,Suzuki,Alto,13.864301674514206
7872744,Unknown,Sedan,Lahore,Attitude Black,1300.0,Petrol,Toyota,120000,Corolla,Lahore,Manual,1905.0,3180000.0,Toyota,Corolla,14.97239206922172
7929926,Unknown,Hatchback,Lahore,Silky Silver,1000.0,Petrol,Suzuki,115000,Cultus,Lahore,Manual,1905.0,1575000.0,Suzuki,Cultus,14.269766465162304
7839139,Imported,Hatchback,Sialkot,Unknown,660.0,Hybrid,Suzuki,43922,Wagon,Punjab,Automatic,1905.0,3650000.0,Suzuki,Wagon,15.11023799953124
7929768,Unknown,Hatchback,Karachi,Silky Silver,1000.0,Petrol,Suzuki,123456,Alto,Karachi,Manual,1905.0,600000.0,Suzuki,Alto,13.304686600863562
7929927,Unknown,Sedan,Karachi,Black,1300.0,Petrol,Toyota,2800,Corolla,Sindh,Manual,1905.0,4200000.0,Toyota,Corolla,15.250595321348806
7767406,Unknown,Hatchback,Faisalabad,Solid White,1242.0,Petrol,Suzuki,6000,Swift,Punjab,Automatic,1905.0,4650000.0,Suzuki,Swift,15.35237799261728
7929929,Unknown,Sedan,Karachi,White,1300.0,Petrol,Toyota,186000,Corolla,Karachi,Manual,1905.0,2350000.0,Toyota,Corolla,14.669926311652166
7929914,Imported,Unknown,Lahore,Black,102.0,Unknown,BMW,100,i7,Un-Registered,Automatic,1905.0,107500000.0,Other,Other,18.493001414834318
7903429,Unknown,Double Cabin,Karachi,White,2800.0,Diesel,Toyota,85000,Hilux,Sindh,Automatic,1905.0,12000000.0,Toyota,Hilux,16.300417291085605
7836492,Unknown,Sedan,Lahore,Graphite Grey,1600.0,Petrol,Toyota,90694,Corolla,Lahore,Automatic,1905.0,5300000.0,Toyota,Corolla,15.483217567201578
7867258,Imported,Hatchback,Lahore,Blue,660.0,Petrol,Daihatsu,19010,Mira,Punjab,Automatic,1905.0,3575000.0,Daihatsu,Mira,15.089476013830486
7836698,Unknown,SUV,Lahore,Snow White,1500.0,Petrol,Proton,12730,X70,Punjab,Automatic,1905.0,8100000.0,Proton,Other,15.90737474309945
7726816,Imported,Hatchback,Lahore,Silver,660.0,Petrol,Mazda,132113,Carol,Sindh,Manual,1905.0,1550000.0,Other,Other,14.253766134056512
7747438,Unknown,Hatchback,Lahore,Solid White,796.0,Petrol,Suzuki,48317,Mehran,Multan,Manual,1905.0,1150000.0,Suzuki,Mehran,13.955273369904273
7774965,Unknown,Hatchback,Lahore,Silky Silver,1000.0,Petrol,Suzuki,46572,Wagon,Lahore,Manual,1905.0,2385000.0,Suzuki,Wagon,14.684710101591703
7802113,Imported,Crossover,Lahore,White,3500.0,Hybrid,Lexus,23000,RX,Un-Registered,Automatic,1905.0,38700000.0,Other,Other,17.471350183839803
7904225,Imported,SUV,Lahore,White,3200.0,Diesel,Mitsubishi,199000,Pajero,Islamabad,Automatic,1905.0,11600000.0,Mitsubishi,Other,16.266515742283485
7669275,Imported,Unknown,Lahore,White,2500.0,Hybrid,Toyota,11000,Alphard,Un-Registered,Automatic,1905.0,25600000.0,Toyota,Other,17.05810294851229
7874058,Unknown,Crossover,Lahore,Crystal Black Pearl,1500.0,Petrol,Honda,4582,HR-V,Lahore,Automatic,1905.0,8000000.0,Honda,Other,15.894952224644102
7904248,Imported,SUV,Lahore,Silver Pearl,3400.0,Petrol,Toyota,296000,Prado,Islamabad,Automatic,1905.0,8500000.0,Toyota,Prado,15.955576839107596
7929756,Unknown,Sedan,Islamabad,Silver Metallic,1300.0,Petrol,Toyota,175000,Corolla,Islamabad,Manual,1905.0,2620000.0,Toyota,Corolla,14.778685257416596
7917559,Unknown,Sedan,Lahore,White,1800.0,Petrol,Honda,147035,Civic,Punjab,Automatic,1905.0,4590000.0,Honda,Civic,15.339390799901627
7929881,Unknown,Hatchback,Islamabad,Mercury Blue,998.0,Petrol,KIA,51,Picanto,Islamabad,Automatic,1905.0,2925000.0,KIA,Other,14.888805380528378
7929887,Unknown,Hatchback,Tibba,Graphite Grey,796.0,Petrol,Suzuki,55000,Mehran,Karachi,Manual,1905.0,1000000.0,Suzuki,Mehran,13.815511557963774
7929883,Unknown,Hatchback,Sargodha,White,800.0,Petrol,Daihatsu,96000,Cuore,Lahore,Manual,1905.0,850000.0,Daihatsu,Cuore,13.652992804936396
7929889,Imported,Sedan,Peshawar,Super White,1500.0,Petrol,Toyota,208540,Prius,Lahore,Automatic,1905.0,3090000.0,Toyota,Prius,14.94368197249847
7929888,Unknown,Sedan,Karachi,Aztec Green Pearl,1500.0,Petrol,Honda,100000,Civic,Karachi,Manual,1905.0,520000.0,Honda,Civic,13.161586013632684
7801666,Unknown,Crossover,Sialkot,Cherry Black,1368.0,Petrol,KIA,32000,Stonic,Punjab,Automatic,1905.0,5700000.0,KIA,Other,15.555976908243359
7929893,Unknown,Hatchback,Rawalpindi,Solid White,660.0,Petrol,Suzuki,23000,Alto,Islamabad,Manual,1905.0,2400000.0,Suzuki,Alto,14.690979711984754
7929596,Unknown,Sedan,Daharki,White,1300.0,Petrol,Toyota,99999,Corolla,Sindh,Manual,1905.0,1850000.0,Toyota,Corolla,14.430696737594902
7929895,Unknown,Sedan,Islamabad,Silver Metallic,1300.0,Petrol,Toyota,85000,Corolla,Lahore,Manual,1905.0,4150000.0,Toyota,Corolla,15.238619133170708
7929898,Unknown,Unknown,Lahore,Silver,1600.0,Petrol,Honda,100,Civic,Lahore,Manual,1905.0,740000.0,Honda,Civic,13.51440681653079
7929899,Unknown,Hatchback,Pasrur,Solid White,1000.0,Petrol,Suzuki,1800,Wagon,Un-Registered,Manual,1905.0,3450000.0,Suzuki,Wagon,15.053885078862573
7929903,Imported,Unknown,Gujrat,Purple,1500.0,Hybrid,Toyota,119000,Aqua,Islamabad,Automatic,1905.0,4500000.0,Toyota,Other,15.319588176962746
7929906,Unknown,Hatchback,Chakwal,Solid White,1000.0,Petrol,Suzuki,32000,Wagon,Punjab,Manual,1905.0,2710000.0,Suzuki,Wagon,14.812459561859505
7540066,Unknown,Sedan,Lahore,Silver,1800.0,Petrol,Toyota,72000,Corolla,Islamabad,Automatic,1905.0,3290000.0,Toyota,Corolla,15.006398426692876
7782796,Imported,Hatchback,Mian,Grey,1000.0,Petrol,Toyota,70000,Vitz,Sindh,Automatic,1905.0,2345000.0,Toyota,Vitz,14.667796386301658
7919271,Unknown,Sedan,Gujranwala,Black,1300.0,Petrol,Toyota,250000,Corolla,Lahore,Manual,1905.0,2799000.0,Toyota,Corolla,14.844773125767981
7929911,Unknown,Sedan,Lahore,White,1300.0,Petrol,Toyota,89000,Corolla,Lahore,Manual,1905.0,3045000.0,Toyota,Corolla,14.929011787533305
7750906,Unknown,Sedan,Lahore,Silver,1500.0,Petrol,Toyota,39616,Yaris,Lahore,Automatic,1905.0,4950000.0,Toyota,Yaris,15.414898336565054
7803455,Imported,Crossover,Lahore,Navy,1500.0,Petrol,Honda,38682,Vezel,Lahore,Automatic,1905.0,6800000.0,Honda,Vezel,15.732433317205148
7895162,Unknown,Sedan,Lahore,Cosmic Red,1500.0,Petrol,Changan,28428,Alsvin,Lahore,Automatic,1905.0,3990000.0,Changan,Other,15.199302039492581
7802751,Unknown,Hatchback,Lahore,Mercury Blue,998.0,Petrol,KIA,7302,Picanto,Lahore,Automatic,1905.0,3400000.0,KIA,Other,15.039286283703994
7850776,Unknown,SUV,Lahore,Attitude Black,2700.0,Petrol,Toyota,71055,Fortuner,Lahore,Automatic,1905.0,12800000.0,Toyota,Fortuner,16.36495580701484
7926098,Unknown,Sedan,Nowshera,Super White,1600.0,Petrol,Toyota,46000,Corolla,Islamabad,Automatic,1905.0,5600000.0,Toyota,Corolla,15.53827733427679
7858616,Imported,SUV,Lahore,Alpine White,3000.0,Diesel,BMW,95762,X5,Islamabad,Automatic,1905.0,8500000.0,Other,Other,15.955576839107596
7929855,Unknown,Hatchback,Karachi,Maroon,1000.0,Petrol,Suzuki,151000,Alto,Karachi,Manual,1905.0,900000.0,Suzuki,Alto,13.710151153416941
7929856,Unknown,Sedan,Multan,White,1300.0,Petrol,Honda,45000,City,Lahore,Manual,1905.0,3800000.0,Honda,City,15.150511887854474
7929857,Imported,Sedan,Mardan,Maroon,1600.0,Petrol,Toyota,50000,Corolla,Lahore,Automatic,1905.0,1250000.0,Toyota,Corolla,14.038654909278163
7929858,Unknown,Sedan,Rahim,Silver,1300.0,Petrol,Honda,55000,City,Sindh,Automatic,1905.0,3850000.0,Honda,City,15.163583966004193
7539641,Unknown,SUV,Lahore,Black,2800.0,Diesel,Toyota,23762,Fortuner,Punjab,Automatic,1905.0,19000000.0,Toyota,Fortuner,16.759949589762293
7929859,Unknown,Sedan,Multan,White,1800.0,Petrol,Honda,70000,Civic,Islamabad,Automatic,1905.0,5150000.0,Honda,Civic,15.454507466814658
7929860,Unknown,Hatchback,Okara,Graphite Grey,1000.0,Petrol,Suzuki,142000,Wagon,Punjab,Manual,1905.0,1880000.0,Suzuki,Wagon,14.446782866720884
7929862,Unknown,Hatchback,Faisalabad,Solid White,1000.0,Petrol,Suzuki,100750,Wagon,Lahore,Manual,1905.0,2200000.0,Suzuki,Wagon,14.603968372873895
7929867,Unknown,Hatchback,Islamabad,Graphite Grey,1000.0,Petrol,Suzuki,113000,Cultus,Islamabad,Manual,1905.0,2500000.0,Suzuki,Cultus,14.731801689838349
7929864,Unknown,Sedan,Faisalabad,Modern Steel Metallic,1300.0,Petrol,Honda,110000,City,Faisalabad,Manual,1905.0,2265000.0,Honda,City,14.633085758400277
7929869,Unknown,Unknown,Attock,Maroon,800.0,Petrol,Suzuki,17,Khyber,Punjab,Manual,1905.0,570000.0,Suzuki,Khyber,13.25339339419516
7929866,Unknown,Sedan,Islamabad,Unknown,1300.0,Petrol,Toyota,200000,Corolla,Faisalabad,Manual,1905.0,2450000.0,Toyota,Corolla,14.711598990684092
7929870,Unknown,Sedan,Wah,Black,1600.0,Petrol,Toyota,148000,Corolla,Islamabad,Automatic,1905.0,3650000.0,Toyota,Corolla,15.11023799953124
7929872,Unknown,Hatchback,Lahore,White,1000.0,Petrol,Suzuki,92786,Cultus,Lahore,Manual,1905.0,1570000.0,Suzuki,Cultus,14.266586814266963
7929873,Unknown,Sedan,Sahiwal,White,1300.0,Petrol,Toyota,150000,Corolla,Lahore,Manual,1905.0,1560000.0,Toyota,Corolla,14.260197020251155
7639784,Unknown,Sedan,Faisalabad,Unknown,1800.0,Petrol,Honda,134500,Civic,Lahore,Manual,1905.0,2290000.0,Honda,Civic,14.64406281221155
7929874,Unknown,Sedan,Karachi,Strong Blue,1300.0,Petrol,Toyota,104000,Corolla,Karachi,Automatic,1905.0,3550000.0,Toyota,Corolla,15.0824584431417
7929876,Unknown,Hatchback,Karachi,Silver,800.0,Petrol,Daihatsu,100000,Cuore,Sindh,Manual,1905.0,1100000.0,Daihatsu,Cuore,13.910821646859095
7929878,Imported,Sedan,Rawalpindi,Black,1500.0,Petrol,Toyota,100000,Corolla,Lahore,Automatic,1905.0,2400000.0,Toyota,Corolla,14.690979711984754
7929877,Unknown,Van,Rawalpindi,Solid White,800.0,Petrol,Suzuki,80000,Bolan,Lahore,Manual,1905.0,1600000.0,Suzuki,Bolan,14.285514812209815
7745122,Imported,Unknown,Karachi,Black,1800.0,Hybrid,Toyota,22223,C-HR,Un-Registered,Automatic,1905.0,9400000.0,Toyota,Other,16.056220353623207
7929879,Unknown,Sedan,Lahore,Crystal Black,1500.0,Petrol,Honda,210000,Civic,Lahore,Manual,1905.0,1325000.0,Honda,Civic,14.096923772119156
7929833,Unknown,Sedan,Sialkot,Bronze,1800.0,Petrol,Honda,85000,Civic,Punjab,Automatic,1905.0,2075000.0,Honda,Civic,14.54547219357453
7929835,Unknown,Hatchback,Karachi,Silky Silver,796.0,Petrol,Suzuki,74000,Mehran,Sindh,Manual,1905.0,1300000.0,Suzuki,Mehran,14.077875591662238
7929841,Unknown,Sedan,Wah,Green,1500.0,Petrol,Honda,300000,Civic,Lahore,Manual,1905.0,1000000.0,Honda,Civic,13.815511557963774
7929840,Unknown,Sedan,Lahore,Black,1300.0,Petrol,Toyota,115000,Corolla,Lahore,Manual,1905.0,1750000.0,Toyota,Corolla,14.375126917328105
7929839,Unknown,Sedan,Karachi,Modern Steel Metallic,1500.0,Petrol,Honda,31000,City,Karachi,Automatic,1905.0,3980000.0,Honda,City,15.19679262851687
7929358,Imported,Hatchback,Gujranwala,White,660.0,Petrol,Daihatsu,16500,Move,Un-Registered,Automatic,1905.0,3950000.0,Daihatsu,Other,15.18922639004183
7862998,Imported,Crossover,Islamabad,White,1500.0,Petrol,MG,15000,HS,Islamabad,Automatic,1905.0,7500000.0,MG,Other,15.830413711839864
7929844,Unknown,Hatchback,Islamabad,Silver,1000.0,Petrol,Hyundai,100000,Santro,Peshawar,Automatic,1905.0,825000.0,Hyundai,Other,13.623139877437296
7929845,Unknown,Hatchback,Bahawalpur,White,1000.0,Petrol,Suzuki,33000,Cultus,Punjab,Manual,1905.0,4000000.0,Suzuki,Cultus,15.201805169084134
7886889,Unknown,SUV,Lahore,Attitude Black,2700.0,Petrol,Toyota,90000,Fortuner,Islamabad,Automatic,1905.0,11800000.0,Toyota,Fortuner,16.283610174181653
7929846,Unknown,Sedan,Mandi,White,1300.0,Petrol,Toyota,865120,Corolla,Lahore,Manual,1905.0,3649000.0,Toyota,Corolla,15.109963989466232
7617302,Imported,Hatchback,Karachi,Silver,660.0,Petrol,Daihatsu,80000,Mira,Sindh,Automatic,1905.0,2450000.0,Daihatsu,Mira,14.711598990684092
7929843,Unknown,Sedan,Multan,Black,1800.0,Petrol,Honda,81000,Civic,Lahore,Automatic,1905.0,5350000.0,Honda,Civic,15.49260730578806
7929848,Imported,Micro Van,Lahore,White,660.0,Petrol,Suzuki,120000,Every,Punjab,Automatic,1905.0,1785000.0,Suzuki,Every,14.394929533419809
7929853,Unknown,Crossover,Jhelum,Sparkling Silver,1368.0,Petrol,KIA,13000,Stonic,Islamabad,Automatic,1905.0,5600000.0,KIA,Other,15.53827733427679
7929854,Unknown,Sedan,Multan,White,1800.0,Petrol,Honda,80000,Civic,Lahore,Automatic,1905.0,3650000.0,Honda,Civic,15.11023799953124
7929852,Unknown,Hatchback,Islamabad,Dark Blue,800.0,Petrol,Suzuki,120000,FX,Lahore,Manual,1905.0,310000.0,Suzuki,Other,12.644330802262578
7803237,Imported,Unknown,Karachi,Black,660.0,Petrol,Suzuki,83954,Every,Un-Registered,Automatic,1905.0,3950000.0,Suzuki,Every,15.18922639004183
7802717,Imported,Unknown,Karachi,Brown,660.0,Hybrid,Suzuki,2160,Wagon,Un-Registered,Automatic,1905.0,4150000.0,Suzuki,Wagon,15.238619133170708
7793735,Unknown,SUV,Lahore,Attitude Metallic,3500.0,Petrol,Toyota,100,Land,Un-Registered,Automatic,1905.0,99500000.0,Toyota,Land,18.41566821217907
7802612,Imported,Unknown,Karachi,Unknown,1500.0,Hybrid,Toyota,59205,Sienta,Un-Registered,Automatic,1905.0,7100000.0,Toyota,Other,15.775605482856605
7802697,Imported,Unknown,Karachi,Black,660.0,Petrol,Daihatsu,23239,Mira,Un-Registered,Automatic,1905.0,3950000.0,Daihatsu,Mira,15.18922639004183
7802734,Imported,Unknown,Karachi,Black,660.0,Hybrid,Suzuki,6886,Wagon,Un-Registered,Automatic,1905.0,4100000.0,Suzuki,Wagon,15.226497775576945
7802483,Imported,Unknown,Karachi,Unknown,660.0,Petrol,Suzuki,46172,Every,Un-Registered,Automatic,1905.0,4100000.0,Suzuki,Every,15.226497775576945
7911550,Imported,Sedan,Lahore,White,1500.0,Petrol,Mitsubishi,90000,Lancer,Lahore,Automatic,1905.0,2200000.0,Mitsubishi,Other,14.603968372873895
7929815,Imported,Hatchback,Peshawar,Silver,1300.0,Petrol,Toyota,165000,Vitz,Lahore,Automatic,1905.0,2050000.0,Toyota,Vitz,14.53335083891935
7879991,Imported,Unknown,Gujranwala,Orange,660.0,Petrol,Nissan,6000,Dayz,Un-Registered,Automatic,1905.0,3775000.0,Nissan,Other,15.143911205565889
7929816,Unknown,Sedan,Karachi,White,1300.0,Petrol,Toyota,76453,Corolla,Karachi,Automatic,1905.0,3600000.0,Toyota,Corolla,15.096444681204078
7396897,Unknown,Sedan,Islamabad,Black,1300.0,Petrol,Honda,123000,City,Islamabad,Manual,1905.0,900000.0,Honda,City,13.710151153416941
7929819,Unknown,Unknown,Islamabad,Silver,1500.0,Petrol,Honda,67500,BR-V,Islamabad,Automatic,1905.0,4900000.0,Honda,BR-V,15.404745967162468
7929821,Unknown,Sedan,Islamabad,Silver,1800.0,Petrol,Honda,45000,Civic,Islamabad,Automatic,1905.0,5900000.0,Honda,Civic,15.59046307836746
7929818,Imported,Hatchback,Rawalpindi,Black,660.0,Petrol,Suzuki,95000,Wagon,Lahore,Automatic,1905.0,1950000.0,Suzuki,Wagon,14.48334044336031
7769660,Imported,Hatchback,Islamabad,Unknown,1000.0,Petrol,Toyota,100000,Vitz,Islamabad,Automatic,1905.0,3950000.0,Toyota,Vitz,15.18922639004183
7929824,Unknown,Sedan,Islamabad,White,1300.0,Petrol,Honda,84000,City,Islamabad,Manual,1905.0,3500000.0,Honda,City,15.068273812173887
7929830,Unknown,Sedan,Lahore,Super White,1598.0,Petrol,Toyota,48000,Corolla,Punjab,Automatic,1905.0,5300000.0,Toyota,Corolla,15.483217567201578
7929828,Unknown,Unknown,New,White,660.0,Petrol,Suzuki,100000,Other,Karachi,Manual,1905.0,1320000.0,Suzuki,Other,14.093143052138025
7929831,Unknown,Hatchback,Hyderabad,Graphite Grey,1000.0,Petrol,Suzuki,176000,Wagon,Sindh,Manual,1905.0,1880000.0,Suzuki,Wagon,14.446782866720884
7885408,Unknown,Hatchback,Karachi,Grey,1300.0,Petrol,Suzuki,30000,Swift,Karachi,Automatic,1905.0,2900000.0,Suzuki,Swift,14.88022163978423
7712141,Imported,Hatchback,Karachi,Orange,1500.0,Hybrid,Toyota,65000,Aqua,Sindh,Automatic,1905.0,4000000.0,Toyota,Other,15.201805169084134
7922063,Imported,Unknown,Karachi,Unknown,1000.0,Petrol,Toyota,17425,Yaris,Un-Registered,Automatic,1905.0,5200000.0,Toyota,Yaris,15.46416937585933
7922148,Imported,Unknown,Karachi,Silver,660.0,Petrol,Daihatsu,23804,Mira,Un-Registered,Automatic,1905.0,3950000.0,Daihatsu,Mira,15.18922639004183
7922122,Imported,Unknown,Karachi,Silver,660.0,Petrol,Daihatsu,3570,Mira,Un-Registered,Automatic,1905.0,4100000.0,Daihatsu,Mira,15.226497775576945
7921989,Imported,Unknown,Karachi,Grey,1500.0,Hybrid,Honda,72863,Freed,Un-Registered,Automatic,1905.0,6900000.0,Honda,Other,15.747032114495013
7922043,Imported,Unknown,Karachi,Black,660.0,Hybrid,Suzuki,15283,Wagon,Un-Registered,Automatic,1905.0,4150000.0,Suzuki,Wagon,15.238619133170708
7803619,Imported,Unknown,Karachi,Black,1500.0,Hybrid,Toyota,24060,Aqua,Un-Registered,Automatic,1905.0,6800000.0,Toyota,Other,15.732433317205148
7803259,Imported,Unknown,Karachi,Unknown,1000.0,Petrol,Toyota,39727,Yaris,Un-Registered,Automatic,1905.0,5250000.0,Toyota,Yaris,15.473738825043979
7803316,Imported,Unknown,Karachi,Unknown,1800.0,Hybrid,Toyota,30791,C-HR,Un-Registered,Automatic,1905.0,9600000.0,Toyota,Other,16.077273760604726
7803385,Imported,Unknown,Karachi,Silver,1800.0,Hybrid,Toyota,7982,C-HR,Un-Registered,Automatic,1905.0,9500000.0,Toyota,Other,16.066802461833923
7803361,Imported,Unknown,Karachi,Unknown,1800.0,Hybrid,Toyota,31190,C-HR,Un-Registered,Automatic,1905.0,9800000.0,Toyota,Other,16.097893045681612
7803208,Imported,Unknown,Karachi,Unknown,1000.0,Petrol,Toyota,32442,Raize,Un-Registered,Automatic,1905.0,6800000.0,Toyota,Other,15.732433317205148
7922031,Imported,Unknown,Karachi,Silver,1800.0,Hybrid,Toyota,20200,C-HR,Un-Registered,Automatic,1905.0,9400000.0,Toyota,Other,16.056220353623207
7929790,Unknown,Hatchback,Rawalpindi,Snow White Pearl,800.0,Petrol,Suzuki,200000,Mehran,Rawalpindi,Manual,1905.0,550000.0,Suzuki,Mehran,13.217675375388819
7929794,Imported,Hatchback,Quetta,Super White II,996.0,Petrol,Toyota,28000,Vitz,Karachi,Automatic,1905.0,4800000.0,Toyota,Vitz,15.38412668421143
7929795,Imported,SUV,Rawalpindi,Blue,3000.0,Diesel,Toyota,150000,Prado,Islamabad,Automatic,1905.0,4750000.0,Toyota,Prado,15.373655386537118
7929793,Unknown,Hatchback,Lahore,Silver,1000.0,Petrol,Suzuki,850000,Cultus,Lahore,Manual,1905.0,620000.0,Suzuki,Cultus,13.3374763699232
7929798,Unknown,Sedan,Sargodha,Grey,1300.0,Petrol,Honda,98000,City,Islamabad,Manual,1905.0,3380000.0,Honda,City,15.033386563317146
7929796,Unknown,Hatchback,Abbottabad,Solid White,660.0,Petrol,Suzuki,116000,Alto,Karachi,Manual,1905.0,2200000.0,Suzuki,Alto,14.603968372873895
